,source,ra (deg),dec (deg),ra (hms),dec (dms)
0,j100634-2914,151.642500003,-29.2350000103,10:06:34.20000072,-29:14:06.00003708
1,j104540-2927,161.419166658,-29.4572222068,10:45:40.59999792,-29:27:25.99994448
2,j103742-2823,159.427083332,-28.3844444499,10:37:42.49999968,-28:23:04.00001964
3,j105042-2733,162.676666695,-27.5524999911,10:50:42.4000068,-27:33:08.99996796
4,j103710-2647,159.29291667,-26.794444456,10:37:10.3000008,-26:47:40.0000416
5,j104437-2712,161.157083329,-27.2049999997,10:44:37.69999896,-27:12:17.99999892
6,j101047-2626,152.695833348,-26.442777801,10:10:47.00000352,-26:26:34.0000836
7,j103723-2907,159.349166687,-29.1316666709,10:37:23.80000488,-29:07:54.00001524
8,j101908-2708,154.78333334,-27.1488888677,10:19:08.0000016,-27:08:55.99992372
9,j101357-2459,153.490833316,-24.9922222126,10:13:57.79999584,-24:59:31.99996536
10,j104255-2849,160.73041667,-28.8213888827,10:42:55.3000008,-28:49:16.99997772
11,j100855-3011,152.229999982,-30.1866666933,10:08:55.19999568,-30:11:12.00009588
12,j102229-2647,155.620833312,-26.7927777791,10:22:28.99999488,-26:47:34.00000476
13,j101153-2610,152.974166677,-26.170833353,10:11:53.80000248,-26:10:15.0000708
14,j102802-2937,157.012083357,-29.6194444349,10:28:02.90000568,-29:37:09.99996564
15,j101313-2546,153.304583358,-25.7816666675,10:13:13.10000592,-25:46:54.000003
16,j103716-2934,159.317083342,-29.5672221966,10:37:16.10000208,-29:34:01.99990776
17,j103631-2553,159.132916659,-25.8886111307,10:36:31.89999816,-25:53:19.00007052
18,j100911-2855,152.296250003,-28.9313888725,10:09:11.10000072,-28:55:52.999941
19,j102809-2644,157.037499994,-26.738333324,10:28:08.99999856,-26:44:17.9999664
20,j102429-3013,156.123333342,-30.217500016,10:24:29.60000208,-30:13:03.0000576
21,j101448-2944,153.702500026,-29.7425000129,10:14:48.60000624,-29:44:33.00004644
22,j103913-2509,159.806250013,-25.1577777945,10:39:13.50000312,-25:09:28.0000602
23,j100916-2840,152.318749999,-28.668333349,10:09:16.49999976,-28:40:06.0000564
24,j104623-2622,161.596666691,-26.371388864,10:46:23.20000584,-26:22:16.9999104
25,j101214-2452,153.060416649,-24.8669444177,10:12:14.49999576,-24:52:00.99990372
26,j103618-2612,159.075833332,-26.2130555296,10:36:18.19999968,-26:12:46.99990656
